business_id,business_category,business_age_months,data_confidence_level,history_start_month,monthly_revenue_m1,ussd_transaction_count_m1,mobile_money_frequency_m1,airtime_topup_regularity_m1,card_payment_volume_m1,settlement_consistency_m1,refund_rate_m1,monthly_revenue_m2,ussd_transaction_count_m2,mobile_money_frequency_m2,airtime_topup_regularity_m2,card_payment_volume_m2,settlement_consistency_m2,refund_rate_m2,monthly_revenue_m3,ussd_transaction_count_m3,mobile_money_frequency_m3,airtime_topup_regularity_m3,card_payment_volume_m3,settlement_consistency_m3,refund_rate_m3,monthly_revenue_m4,ussd_transaction_count_m4,mobile_money_frequency_m4,airtime_topup_regularity_m4,card_payment_volume_m4,settlement_consistency_m4,refund_rate_m4,monthly_revenue_m5,ussd_transaction_count_m5,mobile_money_frequency_m5,airtime_topup_regularity_m5,card_payment_volume_m5,settlement_consistency_m5,refund_rate_m5,monthly_revenue_m6,ussd_transaction_count_m6,mobile_money_frequency_m6,airtime_topup_regularity_m6,card_payment_volume_m6,settlement_consistency_m6,refund_rate_m6
NG-SME-00015,transport,88,high,7,332237.83,212,226,0.955,52,1.0,2.5,342992.5,175,208,0.78,36,1.0,1.69,294986.28,155,147,0.709,25,0.5,0.24,356636.86,139,224,0.694,28,1.9,0.36,349445.86,179,224,0.911,37,1.0,1.02,426046.67,233,242,0.722,42,0.6,1.44
NG-SME-00016,services,54,high,5,1039468.62,234,210,0.389,35,2.2,3.81,1418066.54,279,275,0.309,47,1.5,4.48,1281070.28,215,305,0.358,29,0.9,2.56,969662.22,208,207,0.315,35,1.8,3.14,1081276.47,169,206,0.352,23,1.5,2.95,1038156.54,214,206,0.555,37,1.1,2.67
NG-SME-00017,services,39,high,8,451595.38,168,171,0.518,32,1.4,3.78,355678.71,171,167,0.453,26,2.1,3.03,426655.56,188,153,0.453,55,2.7,4.0,469727.9,196,181,0.544,42,2.6,3.4,537161.94,208,271,0.398,56,2.4,3.18,322606.5,144,155,0.46,17,0.7,3.71
NG-SME-00018,retail,28,high,1,206639.03,116,172,0.833,9,1.3,2.43,192518.35,139,185,0.771,9,2.2,3.26,293714.76,126,176,0.735,12,1.1,3.6,290626.15,140,203,0.684,13,0.5,3.05,213083.09,126,206,0.702,8,1.1,2.39,253339.54,156,184,0.81,14,1.0,3.4
NG-SME-00019,retail,28,high,2,229716.17,105,203,0.952,12,3.2,2.19,301156.84,135,249,0.791,16,2.9,2.52,316988.08,114,294,0.814,18,3.1,3.52,297208.0,105,240,0.86,16,3.6,2.65,401878.02,140,314,0.756,21,2.6,2.54,342388.44,158,315,0.686,15,3.2,1.41
NG-SME-00020,food,60,high,3,396511.28,345,190,0.594,36,2.1,2.12,403310.49,357,138,0.838,29,2.7,2.35,391169.13,319,145,0.505,25,3.6,0.87,456033.59,334,197,0.43,41,2.5,3.85,473992.28,410,236,0.694,40,2.6,0.83,436513.06,336,155,0.6,31,3.3,1.92
NG-SME-00021,retail,121,high,12,255706.12,362,112,0.826,22,1.5,3.2,250147.03,214,88,0.829,17,1.5,3.68,274465.88,318,83,0.793,17,1.3,3.72,246377.89,339,109,0.653,24,1.1,2.8,286339.12,297,83,0.745,21,0.9,2.36,271420.04,339,88,0.75,20,1.1,2.62
NG-SME-00022,services,50,high,7,1133086.52,318,93,0.409,35,0.5,4.3,1019242.47,273,104,0.309,26,0.7,3.82,850121.67,205,74,0.498,34,1.4,3.52,890531.54,250,126,0.408,45,1.1,2.65,921952.44,329,101,0.563,58,1.3,3.46,1103675.02,394,105,0.423,44,0.5,2.97
NG-SME-00023,food,51,high,8,337401.51,194,189,0.692,16,1.2,1.74,364202.75,179,153,0.869,14,1.0,1.86,381387.06,275,201,0.524,12,1.0,0.2,413753.14,262,188,0.52,16,1.4,2.53,422998.09,327,172,0.499,21,1.0,2.08,271800.46,204,133,0.486,10,1.4,2.6
NG-SME-00024,food,3,low,4,458822.77,199,191,0.68,13,2.8,2.69,472837.63,140,175,0.575,13,3.4,0.63,572512.79,196,197,0.644,20,2.8,2.74,517035.53,211,161,0.683,19,3.5,3.42,429455.18,168,184,0.682,13,3.5,2.5,372557.67,148,113,0.692,14,2.3,0.07
NG-SME-00025,food,5,low,11,211935.52,423,69,0.555,45,1.2,2.72,237008.41,503,106,0.563,41,1.5,1.0,146551.84,279,75,0.552,41,0.7,1.85,145823.73,376,82,0.747,29,0.6,3.84,201467.03,323,95,0.588,39,0.9,2.13,189172.1,472,93,0.459,43,0.8,2.26
NG-SME-00026,retail,83,high,10,471162.67,156,95,0.846,3,1.5,3.15,599042.43,170,106,0.971,2,0.7,1.45,676913.19,168,111,0.694,3,0.5,1.19,382964.69,124,73,0.613,3,1.5,3.76,523402.89,119,88,0.741,4,1.1,1.35,480215.72,141,90,1.0,2,1.1,1.52
NG-SME-00027,food,89,high,12,574107.06,459,224,0.619,46,1.9,2.37,392591.57,235,166,0.781,38,1.5,1.12,381100.31,284,243,0.529,33,1.6,0.52,489567.23,354,208,0.597,33,1.6,3.52,537834.11,376,250,0.509,31,1.9,0.89,361339.67,373,271,0.657,31,2.0,2.47
NG-SME-00028,food,33,high,5,598029.23,217,246,0.585,10,2.4,1.35,539075.59,299,300,0.703,3,1.8,1.32,811681.48,316,297,0.397,11,1.2,3.11,459642.05,222,251,0.656,8,2.6,1.72,602376.68,197,284,0.613,7,2.6,0.6,661103.82,221,235,0.551,9,1.0,2.51
NG-SME-00029,food,18,high,12,324541.14,247,296,0.633,2,1.6,2.23,225233.9,182,190,0.611,2,1.1,2.61,261004.62,220,186,0.648,1,2.0,2.06,223792.92,202,226,0.736,1,1.8,2.2,234189.54,258,234,0.57,2,2.3,1.71,216360.14,171,193,0.661,1,2.5,2.17
NG-SME-00030,services,37,high,1,310689.72,132,152,0.569,3,2.7,3.63,402752.26,176,190,0.522,3,3.5,4.06,441833.09,165,264,0.55,4,3.0,2.91,454918.36,179,219,0.374,5,3.1,2.53,378973.42,173,188,0.308,3,3.8,2.36,477910.47,217,279,0.6,4,3.3,1.63
NG-SME-00031,food,52,high,5,262126.97,103,180,0.652,19,1.4,2.45,308551.88,99,238,0.681,37,2.3,2.68,388855.51,130,216,0.82,31,2.2,1.11,226992.53,81,176,0.674,28,1.6,2.15,253125.51,87,178,0.91,31,1.7,2.75,249271.38,95,219,0.707,31,2.2,1.01
NG-SME-00032,food,108,high,10,355584.63,134,74,0.804,25,1.2,1.1,472519.97,128,124,0.851,39,0.7,1.37,495565.96,207,112,0.856,50,0.7,1.75,341751.16,131,105,0.771,31,0.5,3.62,351625.82,118,86,0.752,32,1.4,2.24,387440.92,183,99,0.709,42,1.4,1.05
NG-SME-00033,transport,65,high,5,785957.55,111,51,0.815,9,0.6,1.27,824813.08,153,59,0.923,15,1.1,1.76,802200.49,139,65,0.833,11,0.5,1.28,732853.47,108,44,0.818,14,0.5,1.11,523487.23,105,39,0.848,9,0.5,0.72,746026.44,111,41,0.939,10,1.1,1.91
NG-SME-00034,transport,15,high,3,328142.49,194,266,1.0,32,0.8,1.27,398118.31,239,245,0.824,33,1.3,1.91,297783.48,159,203,0.944,32,1.2,0.42,365371.75,201,276,0.781,34,1.0,1.2,400469.36,215,252,0.82,46,1.0,2.03,396666.37,200,257,0.769,47,0.6,1.6
NG-SME-00035,retail,36,high,12,485990.38,508,181,0.687,46,1.2,2.78,341036.05,308,141,0.784,23,0.6,2.26,477435.34,300,160,0.696,34,1.3,0.94,506595.33,398,194,0.644,37,1.1,2.37,413995.64,369,198,0.746,48,1.2,3.54,316144.7,348,189,0.658,32,1.9,2.43
NG-SME-00036,services,5,low,10,574187.83,460,166,0.428,14,0.7,3.16,671051.72,426,222,0.391,18,0.5,2.96,801250.19,575,221,0.416,20,0.9,3.51,487954.67,387,138,0.493,14,0.5,2.64,653257.37,432,188,0.391,13,1.0,3.87,621100.93,384,162,0.431,12,1.7,3.6
NG-SME-00037,transport,73,high,9,578809.98,324,112,0.681,25,0.8,1.51,581502.21,368,90,0.935,35,1.0,1.78,603114.58,390,102,0.782,52,1.3,0.66,733268.29,521,161,1.0,34,1.3,1.03,433756.81,289,92,0.936,28,1.6,0.0,495849.25,393,99,0.769,27,0.6,1.93
NG-SME-00038,retail,27,high,6,323728.63,300,209,0.718,27,2.4,3.15,273508.18,278,293,0.67,24,1.4,1.54,288317.12,207,226,0.858,18,2.5,2.97,212644.15,211,221,0.752,13,1.5,3.37,251177.9,157,237,0.94,22,2.4,2.65,295989.69,209,239,0.744,24,2.3,1.85
NG-SME-00039,food,28,high,9,281379.99,254,118,0.723,7,3.1,2.42,299453.15,278,103,0.736,12,2.1,1.01,353626.21,319,140,0.779,9,2.7,2.99,341088.43,435,233,0.697,16,2.1,1.6,285631.06,268,105,0.735,8,3.6,0.83,291583.21,333,99,0.834,10,3.8,1.03
NG-SME-00040,retail,23,high,12,908720.32,129,55,0.746,49,1.9,1.87,644827.77,98,35,0.632,36,2.1,2.0,751640.48,103,42,0.755,24,1.3,2.37,711092.23,115,49,0.745,26,1.3,2.12,848355.85,128,37,0.61,43,0.5,0.92,806131.14,110,37,0.605,21,0.7,3.1
NG-SME-00041,food,28,high,11,441547.44,376,122,0.658,7,1.7,2.99,596771.25,435,162,0.614,5,2.4,2.73,343027.63,254,105,0.847,7,0.9,1.64,392852.87,352,95,0.652,5,1.6,1.69,501484.81,346,78,0.715,6,0.8,2.6,525588.51,318,103,0.672,6,1.2,3.67
NG-SME-00042,transport,38,high,6,281013.58,375,230,0.773,51,1.9,0.98,288075.75,305,209,0.871,30,1.2,2.02,194243.71,320,198,0.768,47,2.2,0.57,192792.92,244,184,0.848,47,1.6,0.82,190059.13,312,195,0.686,33,1.4,2.12,208691.63,259,221,0.687,47,2.3,1.42
NG-SME-00043,food,23,high,1,360240.43,86,85,0.555,12,3.1,1.89,525168.12,75,88,0.587,11,2.1,2.17,537387.31,95,114,0.652,12,2.4,2.52,611378.54,88,82,0.746,16,3.1,1.47,482659.34,81,97,0.547,12,3.2,1.31,711307.0,98,122,0.564,16,3.4,1.67
NG-SME-00044,retail,38,high,4,328861.64,140,183,0.723,9,1.5,2.73,369619.26,179,138,0.787,7,1.3,2.35,409242.76,214,163,0.847,8,1.1,2.9,405906.46,255,191,0.91,13,1.7,3.15,319597.02,186,137,0.676,6,1.1,1.81,298242.85,142,161,0.708,7,0.7,3.46
NG-SME-00045,transport,68,high,10,617954.97,314,163,0.855,3,1.8,1.7,943540.06,313,202,0.867,4,3.1,1.81,906716.12,389,271,0.874,5,2.2,2.36,641441.11,220,124,0.828,2,2.4,0.29,633314.63,243,140,0.999,5,3.0,0.45,725497.5,240,186,0.69,4,1.7,1.22
NG-SME-00046,transport,44,high,11,306600.1,252,69,0.844,8,1.4,2.29,329742.25,322,82,0.962,7,1.0,0.4,240843.11,216,42,0.88,2,0.7,1.62,303665.23,270,61,0.919,6,0.7,1.1,334719.58,265,81,0.612,7,1.3,1.13,316724.06,223,52,0.91,8,1.4,1.52
NG-SME-00047,services,18,high,11,646481.03,175,204,0.484,33,3.4,4.56,598219.62,185,273,0.374,42,3.2,1.74,452942.54,149,162,0.293,16,2.6,2.59,584352.99,178,214,0.316,17,2.8,3.05,553277.26,165,211,0.29,38,2.3,3.34,542196.96,169,212,0.475,25,3.2,3.9
NG-SME-00048,services,29,high,4,623801.83,379,182,0.382,7,2.3,4.4,674966.32,393,224,0.453,7,2.8,2.8,724816.57,387,242,0.341,5,3.1,1.8,740974.15,501,267,0.341,6,3.8,3.31,632424.58,352,225,0.518,5,2.8,2.94,586567.83,356,178,0.335,4,2.5,5.04
NG-SME-00049,retail,37,high,5,350899.86,310,103,0.759,25,3.5,2.46,402691.9,341,111,0.511,22,3.1,2.65,378101.77,366,117,0.743,26,3.0,2.68,257228.5,299,127,0.795,21,1.1,3.34,298948.97,256,110,0.697,21,1.7,3.69,370648.73,304,121,0.679,20,1.5,3.27
NG-SME-00050,food,21,high,8,182393.33,178,54,0.717,3,1.0,1.22,161703.58,218,52,0.716,2,0.5,1.94,169845.07,202,54,0.692,2,0.5,1.36,198804.37,298,55,0.633,4,0.5,1.58,207459.45,266,69,0.69,3,1.1,3.14,147895.72,148,51,0.646,1,1.0,2.87
NG-SME-00051,food,85,high,9,411430.11,118,151,0.548,16,1.5,2.36,354553.76,104,189,0.648,16,1.5,0.67,496450.63,171,200,0.633,23,1.3,1.5,544465.62,167,262,0.673,21,1.0,3.08,324493.21,101,143,0.613,9,0.9,3.11,369486.7,136,188,0.637,19,0.9,0.62
NG-SME-00052,transport,13,high,4,455319.28,389,276,0.933,31,0.8,1.23,441316.2,288,219,0.748,13,1.0,0.4,516740.91,317,311,0.688,38,0.7,1.88,449952.97,380,307,0.646,45,0.5,1.97,446511.81,294,290,0.904,31,1.4,1.03,393585.99,314,180,0.868,18,0.9,2.21
NG-SME-00053,services,147,high,10,424274.26,266,157,0.446,9,0.5,2.93,638139.28,319,187,0.413,23,1.8,2.48,725875.66,333,209,0.266,25,0.7,2.79,474683.87,245,124,0.609,19,1.6,2.55,515896.82,190,114,0.386,18,1.9,2.48,548890.18,223,160,0.428,20,0.9,4.16
NG-SME-00054,food,17,high,9,439677.54,201,180,0.704,32,2.8,1.47,482179.02,244,194,0.783,35,2.9,0.0,810647.62,222,195,0.692,44,3.1,1.77,802030.74,288,255,0.736,52,2.1,1.64,460913.2,166,182,0.744,26,3.7,1.08,625557.87,226,224,0.628,43,3.0,1.26
NG-SME-00055,retail,11,medium,12,944594.71,366,221,0.611,45,1.3,3.36,645524.76,224,121,0.76,21,1.1,2.65,735504.89,278,158,0.692,33,1.2,3.25,830189.45,277,159,0.894,42,1.1,1.67,571372.93,230,166,0.529,47,1.2,2.82,677968.75,315,173,0.533,28,1.8,3.95
NG-SME-00056,retail,27,high,11,455776.18,336,275,0.796,31,1.5,2.15,434977.99,317,326,0.613,36,1.2,3.81,354807.79,247,168,0.835,18,0.8,1.96,414288.62,275,206,0.627,21,1.7,2.72,483745.54,299,264,0.805,16,1.0,3.1,479250.44,245,225,0.813,25,0.5,2.97
NG-SME-00057,services,53,high,11,387479.27,516,112,0.603,35,1.3,3.68,356359.86,436,161,0.5,38,1.1,2.13,253043.88,369,104,0.31,22,1.0,2.89,303947.27,384,116,0.487,23,1.0,3.27,316094.73,348,154,0.24,33,0.6,2.77,346867.79,332,119,0.513,29,1.4,3.71
NG-SME-00058,retail,31,high,1,683059.93,255,62,0.793,8,3.2,1.12,754901.6,272,80,0.716,11,3.2,2.32,760579.22,254,96,0.733,10,2.7,1.14,800501.91,296,93,0.771,12,2.9,2.13,698533.45,249,85,0.66,8,2.7,2.01,881191.16,325,108,0.85,11,2.6,3.34
NG-SME-00059,retail,22,high,1,341730.93,90,219,0.711,15,1.8,1.93,360268.01,117,155,0.631,16,2.5,2.85,393646.27,90,220,0.518,13,2.6,0.4,467506.3,115,186,0.804,17,2.1,2.53,428649.05,113,190,0.914,14,1.9,3.58,475596.68,134,173,0.863,27,2.2,2.58
NG-SME-00060,services,131,high,12,680672.01,389,167,0.698,20,1.4,3.26,611765.66,291,87,0.677,15,1.1,4.49,603381.85,331,106,0.599,22,1.2,3.49,723593.35,308,127,0.503,14,1.7,3.33,634628.4,386,130,0.585,20,1.4,4.37,681767.2,368,134,0.616,17,1.8,2.5
NG-SME-00061,food,81,high,1,155756.03,220,129,0.537,29,0.6,1.0,211533.78,281,165,0.605,31,0.9,1.9,182940.48,257,196,0.776,32,0.8,1.48,187897.99,307,158,0.596,31,0.5,3.16,185568.3,282,196,0.686,33,0.7,2.66,191231.93,286,203,0.577,44,0.5,1.31
NG-SME-00062,food,15,high,4,420749.11,360,221,0.63,19,3.5,2.06,459939.02,308,178,0.798,25,3.1,1.9,547934.03,411,180,0.611,22,2.8,2.13,602074.87,390,251,0.708,24,3.2,1.28,394475.34,315,167,0.723,28,2.5,2.72,360971.78,330,141,0.694,16,3.0,3.26
NG-SME-00063,retail,23,high,7,483140.2,415,281,0.958,31,0.5,2.09,412925.52,346,190,0.576,23,1.2,1.64,351530.12,285,191,0.808,31,1.2,1.99,401980.76,314,224,0.743,28,0.5,2.45,507691.88,355,230,0.795,21,0.8,1.82,546426.44,405,301,0.707,37,1.6,3.49
NG-SME-00064,retail,31,high,6,641993.2,123,59,0.824,10,2.0,2.68,665488.61,137,70,0.641,11,1.7,3.05,454350.26,114,53,0.686,6,1.2,1.48,409040.19,78,36,0.564,5,2.2,3.86,490577.4,85,60,0.91,6,2.9,2.66,528862.55,136,71,0.714,7,2.0,3.81
NG-SME-00065,food,121,high,7,618531.36,447,203,0.708,51,2.0,2.69,528925.19,297,157,0.637,21,2.1,2.67,516022.68,306,147,0.708,26,1.5,1.35,508917.96,291,141,0.579,32,2.7,1.34,668943.55,440,213,0.736,46,1.9,1.62,726911.24,468,234,0.815,51,2.5,2.31
NG-SME-00066,transport,22,high,1,327747.01,221,97,0.854,30,1.3,1.06,354372.6,266,116,0.739,30,0.5,1.06,380528.41,256,122,0.734,45,1.1,0.55,434187.45,327,115,0.819,37,0.5,0.12,297356.48,269,139,0.78,15,1.3,2.56,499179.64,299,146,0.743,41,1.4,0.51
NG-SME-00067,retail,30,high,11,774993.53,343,124,0.862,4,0.8,2.47,793703.85,391,175,0.855,5,1.3,3.44,644064.8,281,82,0.772,3,2.2,3.01,632684.87,281,108,0.722,4,0.9,2.87,682760.86,338,116,0.567,3,0.5,3.55,660020.31,355,135,0.619,3,0.5,1.92
NG-SME-00068,retail,33,high,11,341034.54,491,270,0.87,37,0.5,2.68,439944.59,510,309,0.798,39,1.5,1.01,287838.26,382,192,0.744,32,0.9,2.98,363073.92,334,257,0.873,37,1.4,2.74,379101.75,352,205,0.819,51,1.2,3.01,373032.74,474,331,0.861,56,0.6,3.35
NG-SME-00069,food,30,high,11,177447.22,197,170,0.742,37,0.5,2.06,179955.44,164,228,0.606,55,1.6,3.19,123123.35,153,131,0.769,14,1.6,2.36,142006.54,150,137,0.596,41,0.6,2.63,156902.02,180,174,0.515,36,0.8,2.46,176020.6,216,181,0.537,27,0.5,1.8
NG-SME-00070,services,78,high,12,1030380.95,473,315,0.619,19,0.9,3.05,805046.78,218,203,0.559,10,1.4,2.8,981104.23,250,246,0.34,10,2.1,2.2,896633.53,295,282,0.464,17,1.5,3.22,873261.65,350,245,0.551,11,2.0,1.55,795379.86,355,196,0.525,17,2.2,2.65
NG-SME-00071,food,7,medium,6,463549.21,395,228,0.547,39,1.6,0.0,529201.41,384,228,0.849,33,2.2,2.35,454803.58,337,228,0.683,33,2.3,1.9,408985.77,327,181,0.541,34,2.1,1.62,452717.41,340,198,0.679,34,2.0,3.44,509909.98,469,214,0.756,36,2.2,1.26
NG-SME-00072,food,23,high,5,431977.86,93,118,0.609,6,0.8,1.39,456200.31,123,166,0.648,15,1.3,1.54,569749.34,127,213,0.693,14,0.9,0.0,449739.69,83,175,0.693,9,0.5,2.88,370528.49,91,147,0.581,10,1.5,2.53,460498.77,92,172,0.742,7,2.4,0.41
NG-SME-00073,food,58,high,12,764565.46,218,165,0.593,11,2.9,2.92,506525.32,169,92,0.712,9,2.3,1.19,529940.01,238,114,0.754,14,2.7,1.83,577823.87,231,98,0.51,12,1.7,2.04,568328.42,235,135,0.915,13,2.4,2.43,650780.47,212,87,0.56,11,1.6,3.37
NG-SME-00074,food,23,high,6,506423.42,278,275,0.738,10,2.8,1.09,465285.16,314,235,0.542,15,2.9,2.9,365220.55,258,209,0.788,11,2.7,1.51,347014.99,177,181,0.681,13,2.8,1.36,461372.59,219,220,0.719,11,3.1,0.72,412177.63,239,288,0.797,10,2.5,2.48
NG-SME-00075,food,39,high,3,276812.27,311,154,0.61,18,2.5,2.18,335669.46,325,159,0.757,14,3.0,1.64,327920.68,363,119,0.71,13,2.7,1.21,314537.53,469,157,0.88,12,3.2,2.49,333809.58,329,158,0.502,21,3.1,1.57,264642.26,288,167,0.776,8,3.6,1.66
NG-SME-00076,retail,28,high,2,283263.67,177,194,0.874,20,2.4,3.29,314223.68,176,203,0.888,17,3.6,2.01,357555.06,159,184,0.723,21,4.1,2.4,308551.63,127,208,0.796,19,3.0,2.77,308431.18,166,203,0.714,23,2.5,3.46,343376.68,177,240,1.0,18,3.0,3.12
NG-SME-00077,services,29,high,9,975907.06,322,95,0.256,17,0.8,1.86,1076299.36,318,130,0.373,16,1.5,2.9,1254391.7,356,155,0.21,32,1.7,2.91,1426586.16,469,176,0.495,27,1.0,2.79,851942.34,265,73,0.472,19,1.2,3.17,1230770.27,273,110,0.407,28,1.1,3.02
NG-SME-00078,retail,15,high,2,518801.63,332,123,0.569,7,1.7,2.58,503326.29,407,84,0.761,9,2.2,4.13,471892.98,416,136,0.805,8,2.6,2.72,596561.98,394,107,0.82,6,1.8,2.48,694750.92,399,131,0.809,7,1.7,2.76,610616.0,523,118,0.787,7,1.0,2.49
NG-SME-00079,services,40,high,4,1098900.81,285,202,0.529,27,1.2,5.19,1143355.03,246,204,0.573,18,0.5,2.93,1524183.49,354,223,0.463,33,1.0,4.46,1660981.27,286,291,0.577,28,0.8,4.51,1206048.17,238,220,0.352,17,1.0,3.8,1082466.36,237,210,0.541,17,1.0,3.01
NG-SME-00080,services,11,medium,9,704768.5,349,79,0.478,7,2.4,3.1,926618.46,403,71,0.536,9,2.1,2.09,935051.74,413,102,0.325,6,2.4,1.36,1167319.63,570,80,0.339,11,3.3,2.79,660285.9,305,62,0.31,7,2.4,1.14,729800.32,413,73,0.582,7,2.5,3.61
NG-SME-00081,retail,18,high,11,707288.9,342,98,0.766,12,1.6,3.16,823128.59,385,120,0.64,12,2.4,2.02,499964.99,295,91,0.602,5,1.3,1.1,586545.0,334,90,0.676,10,1.8,3.4,564791.5,300,105,0.869,9,2.2,1.75,649868.65,307,80,0.845,10,2.1,2.91
NG-SME-00082,transport,47,high,6,868463.37,406,137,0.762,43,0.5,1.83,850426.11,399,166,0.591,62,0.8,1.55,662478.36,302,100,0.856,30,1.3,0.0,580202.76,391,85,0.945,30,1.2,0.61,599881.34,328,108,0.749,34,1.0,1.22,720986.58,508,153,0.935,39,1.4,1.79
NG-SME-00083,food,44,high,8,328787.53,145,141,0.67,18,1.2,2.96,291425.25,125,118,0.562,14,1.2,2.25,294032.87,125,100,0.758,15,1.0,0.96,370225.64,180,165,0.74,30,1.2,2.89,371363.56,173,182,0.542,29,1.1,3.11,254572.79,158,118,0.781,11,1.3,4.32
